都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考,最終確認日
130001,1,東京都,,公衆電話（江東区亀戸3-36-1）,,,東京都江東区亀戸3-36-1,,35.707333,139.819723,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,2,東京都,,公衆電話（江東区新木場1-5）,,,東京都江東区新木場1-5,,35.644713,139.826176,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,3,東京都,,公衆電話（江東区青海1）No.1,,,東京都江東区青海1,,35.622879,139.778093,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,4,東京都,,公衆電話（江東区青海1）No.2,,,東京都江東区青海1,,35.624931,139.782052,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,5,東京都,,公衆電話（江東区青海1）No.3,,,東京都江東区青海1,,35.620902,139.773679,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,6,東京都,,公衆電話（江東区青海2）,,,東京都江東区青海2,,35.617865,139.77452,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,7,東京都,,公衆電話（江東区青海2-29）,,,東京都江東区青海2-29,,35.617725,139.779374,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,8,東京都,,公衆電話（江東区東雲2-11）,,,東京都江東区東雲2-11,,35.640807,139.804092,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,9,東京都,,公衆電話（江東区東雲2-7）,,,東京都江東区東雲2-7,,35.642516,139.802552,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,10,東京都,,公衆電話（江東区東雲2-8-10）,,,東京都江東区東雲2-8-10,,35.640819,139.804101,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,11,東京都,,公衆電話（江東区豊洲4-11）,,,東京都江東区豊洲4-11,,35.652676,139.798729,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,12,東京都,,公衆電話（江東区豊洲5-6）,,,東京都江東区豊洲5-6,,35.652605,139.797976,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
