番号,緯度,経度,施設名,種別,確保水量（立方メートル）,所在地,詳細画像,情報更新日,備考
1,35.690219,139.74026,区立東郷元帥記念公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都千代田区三番町18,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/1.jpg,平成28年4月19日,［住所］三番町18
2,35.676068,139.756192,都立日比谷公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都千代田区日比谷公園1,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/2.jpg,平成27年7月9日,［住所］日比谷公園1
3,35.6945844,139.781041,都立一橋高等学校,小規模応急給水槽（100立方メートル槽）,100,東京都千代田区東神田1-12-13,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/3.jpg,平成27年7月9日,［住所］東神田1-12-13
4,35.65832,139.78408,晴海給水所,浄水場・給水所,1300,東京都中央区晴海1-6-3,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/4.jpg,平成28年4月19日,［住所］晴海1-6-3
5,35.665987,139.776889,区立あかつき公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都中央区築地7-19-1,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/5.jpg,平成27年7月9日,［住所］築地7-19-1
6,35.6871001,139.779214,区立堀留児童公園,小規模応急給水槽（100立方メートル槽）,100,東京都中央区日本橋堀留町1-1-16,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/6.jpg,平成27年7月9日,［住所］日本橋堀留町1-1-16
7,35.6612205,139.745108,芝給水所,浄水場・給水所,26600,東京都港区芝公園3-6-7,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/7.jpg,平成27年7月9日,［住所］芝公園3-6-7
8,35.66437,139.724887,都立青山公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都港区六本木7-23,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/8.jpg,平成27年7月9日,［住所］六本木7-23
9,35.634688,139.738064,シティハイツ桂坂 (港区防災活動拠点),小規模応急給水槽（100立方メートル槽）,100,東京都港区高輪2-13-8,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/9.jpg,平成27年7月9日,［住所］高輪2-13-8
10,35.6881427,139.690673,淀橋給水所,浄水場・給水所,24000,東京都新宿区西新宿2-10-1,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/10.jpg,平成27年7月9日,［住所］西新宿2-10-1
11,35.706243,139.724088,区立鶴巻南公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都新宿区早稲田鶴巻町507,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/11.jpg,平成27年7月9日,［住所］早稲田鶴巻町507
12,35.706365,139.695779,区立百人町ふれあい公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都新宿区百人町3-28,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/12.jpg,平成27年7月9日,［住所］百人町3-28
13,35.7038488,139.760411,本郷給水所,浄水場・給水所,20000,東京都文京区本郷2-7-29,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/13.jpg,平成27年7月9日,［住所］本郷2-7-29
14,35.7208,139.73559,区立教育の森公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都文京区大塚3-29,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/14.jpg,平成27年7月9日,［住所］大塚3-29
15,35.717343,139.774526,都立上野恩賜公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都台東区上野公園8-51,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/15.jpg,平成27年7月9日,［住所］上野公園8-51
16,35.7169585,139.804179,区立隅田公園山谷堀広場,小規模応急給水槽（100立方メートル槽）,100,東京都台東区浅草7-1,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/16.jpg,平成27年8月1日,［住所］浅草7-1
17,35.70891,139.82186,区立文花公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都墨田区文花1-27-5,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/17.jpg,平成27年7月9日,［住所］文花1-27-5
18,35.693666,139.795728,区立両国公園,小規模応急給水槽（100立方メートル槽）,100,東京都墨田区両国4-25-3,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/18.jpg,平成27年7月9日,［住所］両国4-25-3
19,35.7001343,139.81999,亀戸給水所,浄水場・給水所,20000,東京都江東区亀戸2-6-50,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/19.jpg,平成27年7月9日,［住所］亀戸2-6-50
20,35.67504,139.810955,豊住給水所,浄水場・給水所,13300,東京都江東区東陽6-1-8,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/20.jpg,平成27年7月9日,［住所］東陽6-1-8
21,35.6654223,139.841327,江東給水所,浄水場・給水所,22000,東京都江東区新砂3-6-17,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/21.jpg,平成30年4月1日,［住所］新砂3-6-17
22,35.6308274,139.78544,有明給水所,浄水場・給水所,6600,東京都江東区有明3-1-8,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/22.jpg,平成27年7月9日,［住所］有明3-1-8
23,35.670954,139.832646,区立南砂三丁目公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都江東区南砂3-14-21,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/23.jpg,平成27年7月9日,［住所］南砂3-14-21
24,35.648004,139.812798,都立辰巳の森海浜公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都江東区辰巳2-1,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/24.jpg,平成27年7月9日,［住所］辰巳2-1
25,35.61059,139.72284,区立戸越公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都品川区豊町2-1-30,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/25.jpg,平成27年7月9日,［住所］豊町2-1-30
26,35.59629,139.75039,区立しおじ公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都品川区八潮5-6,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/26.jpg,平成29年8月31日,［住所］八潮5-6
27,35.611851,139.74661,都立八潮高等学校,小規模応急給水槽（100立方メートル槽）,100,東京都品川区東品川3-27-22,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/27.jpg,平成27年7月9日,［住所］東品川3-27-22
28,35.620566,139.670911,八雲給水所,浄水場・給水所,16600,東京都目黒区八雲1-1,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/28.jpg,平成27年7月9日,［住所］八雲1-1
29,35.625388,139.705384,都立林試の森公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都目黒区下目黒5-37,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/29.jpg,平成27年7月9日,［住所］下目黒5-37
30,35.5886364,139.70192,馬込給水所,浄水場・給水所,12080,東京都大田区西馬込2-15-6,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/30.jpg,平成27年7月9日,［住所］西馬込2-15-6
31,35.6004761,139.699734,上池台給水所,浄水場・給水所,11000,東京都大田区上池台1-48-25,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/31.jpg,平成27年7月9日,［住所］上池台1-48-25
32,35.5852378,139.75335,東海給水所,浄水場・給水所,13300,東京都大田区東海1-3-12,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/32.jpg,平成27年7月9日,［住所］東海1-3-12
33,35.5463837,139.705564,区立西六郷三丁目公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都大田区西六郷3-16-16,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/33.jpg,平成27年7月9日,［住所］西六郷3-16-16
34,35.5507281,139.737397,区立萩中公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都大田区萩中3-25-26,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/34.jpg,平成27年7月9日,［住所］萩中3-25-26
35,35.57786,139.7384,区立都堀公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都大田区大森東1-30,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/35.jpg,平成27年7月9日,［住所］大森東1-30
36,35.569444,139.681378,区立下丸子公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都大田区下丸子4-21,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/36.jpg,平成27年7月9日,［住所］下丸子4-21
37,35.5727504,139.711054,区立女塚なかよし公園,小規模応急給水槽（100立方メートル槽）,100,東京都大田区池上5-24,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/37.jpg,平成27年7月9日,［住所］池上5-24
38,35.623056,139.593948,砧浄水場,浄水場・給水所,8300,東京都世田谷区喜多見2-9-1,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/38.jpg,平成27年7月9日,［住所］喜多見2-9-1
39,35.617936,139.610803,砧下浄水所,浄水場・給水所,700,東京都世田谷区鎌田2-4-1,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/39.jpg,平成30年4月1日,［住所］鎌田2-4-1
40,35.670036,139.657061,和田堀給水所,浄水場・給水所,20300,東京都世田谷区大原2-30-43,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/40.jpg,平成30年4月1日,［住所］大原2-30-43
41,35.599819,139.66272,玉川給水所,浄水場・給水所,20000,東京都世田谷区玉川田園調布1-19-1,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/41.jpg,平成27年7月9日,［住所］玉川田園調布1-19-1
42,35.642887,139.616369,大蔵給水所,浄水場・給水所,13300,東京都世田谷区砧2-8-1,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/42.jpg,平成27年7月9日,［住所］砧2-8-1
43,35.633124,139.650269,駒沢給水所,浄水場・給水所,3200,東京都世田谷区弦巻2-41-5,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/43.jpg,平成27年7月9日,［住所］弦巻2-41-5
44,35.6427401,139.678642,区立こどものひろば公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都世田谷区下馬2-31-4,https://www.waterworks.metro.tokyo.lg.jp/files/items/18931/Image/44.jpg,平成27年7月9日,［住所］下馬2-31-4
