都立一時滞在施設一覧,,
,,（令和５年１月１日時点）
番号,施設名称,所在地
1,千代田都税事務所,千代田区内神田2-1-12
2,東京都中小企業振興公社,千代田区神田佐久間町1-9
3,スクワール麹町,千代田区麹町6-6
4,日比谷公園飲食店第二号（霞門横）,千代田区日比谷公園1-5
5,「緑と水」の市民カレッジ,千代田区日比谷公園1-5
6,東京国際フォーラム,千代田区丸の内3-5-1
7,一橋高等学校,千代田区東神田1-12-13
8,東京交通会館,千代田区有楽町2-10-1
9,東京舞台芸術活動支援センター,中央区日本橋箱崎町18-14
10,晴海総合高等学校,中央区晴海1-2-1
11,ニューピア竹芝ノースタワー(ニューピアホール),港区海岸1-11-1
12,ホテルアジュール竹芝,港区海岸1-11-2
13,島しょ農林水産総合センター,港区海岸2-7-104
14,東京港建設事務所,港区港南3-9-56
15,お台場海浜公園,港区台場１丁目
16,台場フロンティアビル,港区台場2-3-2
17,三田高等学校,港区三田1-4-46
18,東京都立中央図書館,港区南麻布5-7-13
19,芝商業高等学校,港区海岸1-8-25
20,六本木高等学校,港区六本木6-16-36
21,産業貿易センター浜松町館,港区海岸1-7-1
22,淀橋市場,新宿区北新宿4-2-1
23,総合芸術高等学校,新宿区富久町22-1
24,東京都庁第一本庁舎,新宿区西新宿2-8-1
25,東京都庁第二本庁舎,新宿区西新宿2-8-1
26,東京都議会議事堂,新宿区西新宿2-8-1
27,新宿都税事務所,新宿区西新宿7-5-8
28,消防博物館,新宿区四谷3-10
29,戸山高等学校,新宿区戸山3-19-1
30,中央・城北職業能力開発センター,文京区後楽1-9-5
31,教職員研修センター,文京区本郷1-3-3
32,小石川中等教育学校,文京区本駒込2-29-29
33,向丘高等学校,文京区向丘1-11-18
34,竹早高等学校,文京区小石川4-2-1
35,工芸高等学校,文京区本郷1-3-9
36,忍岡高等学校,台東区浅草橋5-1-24
37,浅草高等学校,台東区今戸1-8-13
38,東京文化会館,台東区上野公園5-45
39,上野グリーンサロン,台東区上野公園7-47
40,東京都美術館,台東区上野公園8-36
41,台東都税事務所,台東区雷門1-6-1
42,蔵前工業高等学校,台東区蔵前1-3-57
43,産業貿易センター台東館,台東区花川戸2-6-5
44,白鴎高等学校,台東区元浅草1-6-22
45,上野高等学校,台東区上野公園10-14
46,皮革技術センター,墨田区東墨田3-3-14
47,墨田川高等学校,墨田区東向島3-34-14
48,本所都民防災教育センター,墨田区横川4-6-6
49,両国高等学校,墨田区江東橋1-7-14
50,日本橋高等学校,墨田区八広1-28-21
51,橘高等学校,墨田区立花4-29-7
52,本所高等学校,墨田区向島3-37-25
53,産業技術研究センター本部,江東区青海2-4-10
54,タイム２４ビル,江東区青海2-4-32
55,テレコムセンタービル,江東区青海2-5-10
56,東京国際展示場,江東区有明3-11-1
57,TFTビル,江東区有明3-6-11 
58,有明パークビル,江東区有明3-7-11
59,有明フロンティアビル,江東区有明3-7-26
60,江東都税事務所,江東区大島3-1-3
61,大江戸高等学校,江東区千石3-2-11
62,東京辰巳国際水泳場　,江東区辰巳2-8-10
63,深川高等学校,江東区東陽5-32-19
64,計量検定所,江東区新砂3-3-41
65,東京都現代美術館,江東区三好4-1-1
66,若洲海浜公園ヨット訓練所　,江東区若洲3-1-1
67,墨田工業高等学校,江東区森下5-1-7
68,有明テニスの森公園テニス施設,江東区有明2-2-22
69,第三商業高等学校,江東区越中島3-3-1
70,豊洲市場,江東区豊洲6-6-１
71,海の森水上競技場,江東区海の森3-6-44
72,有明アリーナ,江東区有明1-11-1
