番号,施設名称,所在地,緯度,経度
1,千代田都税事務所,千代田区内神田2-1-12,35.689198,139.768311
2,東京都中小企業振興公社,千代田区神田佐久間町1-9,35.697285,139.774338
3,スクワール麹町,千代田区麹町6-6,35.685661,139.731735
4,日比谷公園飲食店第二号（霞門横）,千代田区日比谷公園1-5,35.672764,139.754089
5,「緑と水」の市民カレッジ,千代田区日比谷公園1-5,35.672764,139.754089
6,東京国際フォーラム,千代田区丸の内3-5-1,35.676849,139.76387
7,一橋高等学校,千代田区東神田1-12-13,35.695004,139.781219
8,東京交通会館,千代田区有楽町2-10-1,35.674953,139.764359
9,東京舞台芸術活動支援センター,中央区日本橋箱崎町18-14,35.680225,139.78569
10,晴海総合高等学校,中央区晴海1-2-1,35.661182,139.786575
11,ニューピア竹芝ノースタワー(ニューピアホール),港区海岸1-11-1,35.655239,139.763412
12,ホテルアジュール竹芝,港区海岸1-11-2,35.655239,139.763412
13,島しょ農林水産総合センター,港区海岸2-7-104,35.648914,139.759583
14,東京港建設事務所,港区港南3-9-56,35.632515,139.751373
15,お台場海浜公園,港区台場１丁目,35.63073,139.777939
16,台場フロンティアビル,港区台場2-3-2,35.627892,139.776321
17,三田高等学校,港区三田1-4-46,35.653156,139.742737
18,東京都立中央図書館,港区南麻布5-7-13,35.652203,139.725845
19,芝商業高等学校,港区海岸1-8-25,35.656395,139.760773
20,六本木高等学校,港区六本木6-16-36,35.65807,139.730743
21,産業貿易センター浜松町館,港区海岸1-7-1,35.655045,139.760864
22,淀橋市場,新宿区北新宿4-2-1,35.7047,139.694427
23,総合芸術高等学校,新宿区富久町22-1,35.692692,139.714996
24,東京都庁第一本庁舎,新宿区西新宿2-8-1,35.689629,139.691772
25,東京都庁第二本庁舎,新宿区西新宿2-8-1,35.689629,139.691772
26,東京都議会議事堂,新宿区西新宿2-8-1,35.689629,139.691772
27,新宿都税事務所,新宿区西新宿7-5-8,35.696686,139.69809
28,消防博物館,新宿区四谷3-10,35.688141,139.719894
29,戸山高等学校,新宿区戸山3-19-1,35.706581,139.710617
