"区市町村
コード",区市町村,施設名,所在地住所,緯度,経度,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,その他,"エレベーター有/
避難スペースが１階",スロープ等,点字ブロック,車椅子使用者対応トイレ,"その他
（具体的に）"
,,,,,,,,,,,,,,,,,,,
131016,千代田区,北の丸公園,千代田区北の丸公園1ほか,35.69198,139.750564,,,,1,,,,,,,,,,
131016,千代田区,皇居東御苑,千代田区千代田1,35.686863,139.757162,,,,1,,,,,,,,,,
131016,千代田区,皇居外苑,千代田区皇居外苑1ほか,35.680258,139.757693,,,,1,,,,,,,,,,
131016,千代田区,日比谷公園,千代田区日比谷公園1,35.673576,139.755893,,,,1,,,,,,,,,,
131016,千代田区,真田堀運動場,千代田区紀尾井町5ほか,35.68278,139.731059,,,,1,,,,,,,,,,
131016,千代田区,外濠公園,千代田区五番町先,35.68864,139.73097,,,,1,,,,,,,,,,
131016,千代田区,麹町小学校,千代田区麹町２－８,35.685573,139.739317,1,1,1,1,,,1,,,○,○,○,○,
131016,千代田区,九段小学校,千代田区三番町１６,35.690366,139.740845,1,1,1,1,,,1,,,○,○,○,○,
131016,千代田区,番町小学校,千代田区六番町８,35.688163,139.734126,1,,1,1,,,1,,,,,,,
131016,千代田区,麹町中学校,千代田区平河町２－５－１,35.680493,139.73867,1,1,1,1,,,1,,,○,○,○,○,
131016,千代田区,富士見みらい館,千代田区富士見１－１０－３,35.697182,139.746403,1,1,1,1,,,1,,,○,○,○,○,
131016,千代田区,神田一橋中学校,千代田区一ツ橋２－６－１４,35.694133,139.756828,1,1,,1,,,1,,,○,○,○,○,
131016,千代田区,神田さくら館,千代田区神田司町２－１６,35.693327,139.768393,1,,1,1,,,1,,,○,○,○,○,
131016,千代田区,昌平童夢館,千代田区外神田３－４－７,35.701306,139.769766,,1,1,1,,,1,,,○,○,○,○,
131016,千代田区,アーツ千代田3331,千代田区外神田６－１１－１４,35.704267,139.770632,,,1,1,,,1,,,○,○,○,○,自動ドア
131016,千代田区,ちよだパークサイドプラザ,千代田区神田和泉町１,35.699212,139.778598,,,,1,,,1,,,○,○,○,○,
131016,千代田区,旧今川中学校,千代田区鍛冶町２－４－２,35.691178,139.773051,,,1,1,,,1,,,,,,,
131016,千代田区,都立一橋高校,千代田区東神田１－１２－１３,35.694526,139.780984,,,1,1,,,1,,,○,○,○,,
131016,千代田区,区立スポーツセンター,千代田区内神田２－１－８,35.689298,139.767632,1,,1,1,,,1,,,○,○,○,○,自動ドア
131016,千代田区,岩本町ほほえみプラザ,千代田区岩本町２－１５－３,35.694328,139.777812,,,,1,,,1,,,○,○,○,○,自動ドア
131016,千代田区,明治大学,千代田区神田駿河台１－１,35.697323,139.761579,1,,1,,,,,,,○,,○,○,自動ドア、おむつ交換台、ベビーチェア
131016,千代田区,上智大学,千代田区紀尾井町７－１,35.68511,139.73164,1,,1,,,,,,,○,,○,○,自動ドア
131016,千代田区,日本大学会館,千代田区九段南４－８－２４,35.691261,139.737391,1,,1,,,,,,,○,○,○,○,
131016,千代田区,日本大学通信教育学部,千代田区九段南４－８－２８,35.69164,139.73788,1,,1,,,,,,,○,○,○,○,
131016,千代田区,日本大学歯学部,千代田区神田駿河台１－８－１３,35.698122,139.764223,1,,1,,,,,,,○,,,○,
131016,千代田区,日本大学理工学部①,千代田区神田駿河台１－８－１４,35.697587,139.763601,1,,1,,,,,,,○,○,○,○,
131016,千代田区,日本大学理工学部②,千代田区神田駿河台３－１１－２,35.697337,139.765328,1,,1,,,,,,,○,○,○,○,
131016,千代田区,日本大学経済学部,千代田区神田三崎町１－３－２,35.700234,139.756266,1,,,,,,,,,○,○,,○,
131016,千代田区,日本大学法学部①,千代田区神田三崎町２－１－３,35.699859,139.75544,1,,,,,,,,,○,○,○,○,
131016,千代田区,日本大学法学部②,千代田区西神田２－７－１０,35.699359,139.755349,1,,,,,,,,,○,○,○,○,
131024,中央区,京橋区民館,中央区京橋2-6-7,35.676558,139.771358,1,,1,1,,,1,,,○,○,,○,自動ドア
131024,中央区,京橋プラザ,中央区銀座1-25-3,35.673233,139.771678,1,,1,1,,,1,,,○,○,○,○,自動ドア
131024,中央区,泰明小学校,中央区銀座5-1-13,35.672333,139.761326,1,,1,1,,,1,,,,,,,
131024,中央区,銀座中学校,中央区銀座8-19-15,35.665698,139.765034,1,,1,1,,,1,,,,○,,○,
131024,中央区,中央小学校,中央区湊1-4-1,35.672201,139.778753,1,,1,1,,,1,,,○,○,○,○,オストメイト設備
131024,中央区,明石小学校,中央区明石町1-15,35.668438,139.776409,1,,1,1,,,1,,,○,○,○,○,オストメイト設備
